Name,Description,Status,Level,Latitude,Longitude,PlaceID,ExpectedStability
3!edd1ebeac04e5defa01709cf4c845bf3,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017181df55c397f,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa0171ab73a76a871,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa01727b4de940bc6,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa0174a3bd98b9fa1,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa0174ecf9feb4675,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017587f17ca4541,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017804a14f03e04,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa0179efb0dc4a4eb,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017b2b41678058b,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017c58af3c68f77,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017d2c889c50921,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017d3b9b43f91d4,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017d617b84d6029,"RU Geology Museum",ACTIVE,1,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017dbdaf9db4e4b,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
3!edd1ebeac04e5defa017fa8f382a88f1,"RU Geology Museum",ACTIVE,2,40.498658,-74.44670099999999,undefined,STABLE
